doc_id,token,bio_label
1,Оплата,B-PAYMENT_TYPE
1,за,B-PURPOSE
1,оборудование,I-PURPOSE
1,для,I-PURPOSE
1,оснащения,I-PURPOSE
1,Центров,I-PURPOSE
1,для,I-PURPOSE
1,детей,I-PURPOSE
1,с,I-PURPOSE
1,аутизмом,I-PURPOSE
1,ТОО,B-ORG
1,"""Royal",I-ORG
1,Engineering,I-ORG
1,"Kazakhstan"",",I-ORG
1,Договор,O
1,поставки,O
1,№РАС-6-12,O
1,от,O
1,27.12.2022г.,O
2,Оплата,B-PAYMENT_TYPE
2,за,B-PURPOSE
2,изготовление,I-PURPOSE
2,инновационных,I-PURPOSE
2,протезно-ортопедических,I-PURPOSE
2,изделий,I-PURPOSE
2,для,I-PURPOSE
2,5-х,I-PURPOSE
2,детей,I-PURPOSE
2,и,I-PURPOSE
2,молодежи,I-PURPOSE
2,с,I-PURPOSE
2,инвалидностью,I-PURPOSE
2,(14-29,I-PURPOSE
2,лет),I-PURPOSE
2,-,O
2,ТОО,B-ORG
2,"""Фармас"",",I-ORG
2,Договор,O
2,№09-5,O
2,от,O
2,20.05.2022г.,O
3,Образовательные,B-PURPOSE
3,гранты,B-PAYMENT_TYPE
3,ОФ,B-ORG
3,«Қазақстан,I-ORG
3,халқына»,I-ORG
3,и,O
3,стипендии,B-PAYMENT_TYPE
3,студентам,B-PURPOSE
3,АО,B-ORG
3,"""Университет",I-ORG
3,КАЗГЮУ,I-ORG
3,им.,I-ORG
3,М.С.,I-ORG
3,"Нарикбаева»,",I-ORG
3,Доп.соглаш.1,O
3,к,O
3,Договор,O
3,№09-02-55/60,O
3,от,O
3,28.10.2022г.,O
4,Оплата,B-PAYMENT_TYPE
4,ТОО,B-ORG
4,"""МК-",I-ORG
4,"ФАРМА""",I-ORG
4,за,B-PURPOSE
4,оборудование,I-PURPOSE
4,для,I-PURPOSE
4,оснащения,I-PURPOSE
4,специальных,I-PURPOSE
4,"школ,",I-PURPOSE
4,Договор,O
4,№09-02-131,O
4,от,O
4,19.12.2022г.,O
5,Оплата,B-PAYMENT_TYPE
5,за,B-PURPOSE
5,оказание,I-PURPOSE
5,мед.помощи,I-PURPOSE
5,детям,I-PURPOSE
5,с,I-PURPOSE
5,сосудистой,I-PURPOSE
5,патологией,I-PURPOSE
5,-,O
5,ОФ,B-ORG
5,ИМЕНИ,I-ORG
5,"""КАРАБЕКОВА",I-ORG
5,"АГАБЕКА"",",I-ORG
5,Договор,O
5,№09-03,O
5,от,O
5,16.05.22г.,O
6,Образовательные,B-PURPOSE
6,гранты,B-PAYMENT_TYPE
6,ОФ,B-ORG
6,«Қазақстан,I-ORG
6,халқына»,I-ORG
6,и,O
6,стипендии,B-PAYMENT_TYPE
6,студентам,O
6,ТОО,O
6,"""Университет",O
6,международного,O
6,бизнеса,O
6,им.,O
6,Кенжегали,O
6,"Сагадиева"",",O
6,Доп.соглаш.1,O
6,к,O
6,Договору,O
6,№09-02-55/83,O
6,от,O
6,28.10.2022г.,O
7,Образовательные,B-PURPOSE
