№ п/п;Дата платежа ;Назначение платежа;Сумма;
1;05.01.2024;"Оплата ТОО  ""ИНТЕРФАРМСЕРВИС"" за лекарственное  средство
- Касимерсен (Амондис), Договор №09-03-165 от 29.12.2023г";468 035 360;
2;05.01.2024;"Оплата ТОО  ""ИНТЕРФАРМСЕРВИС"" за лекарственное  средство
- Голодирсен (Виондис 53), Договор №09-03-166 от 29.12.2023г";72 005 440;
3;10.01.2024;"Оплата ТОО ""EDTECH INNOVATION"" за оборудование для оснащения опорных школ, Дог. № 11-02-6-217,219 от 12.09.2023г.";119 362 607;
4;10.01.2024;"Возмещение расходов по перевозке по РК согласно Договора №09- 02-3-9 от 05.04.2023г. (КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"") в рамках
реализации проекта «QH Оңалту орталығы»";14 059 888;
5;10.01.2024;"Оплата за оборудование для оснащения Центров раннего
вмешательства ТОО ""METAMED"", Договор №ЦРВ/2022-21-3 от 30.11.2023г.";136 000;
6;10.01.2024;"Оплата ТОО ""Базисный Магазин"" за оборудование для оснащения
опорных школ, Дог. №11-02-6-234  от 14.09.2023г";124 912 500;
7;10.01.2024;"Оплата за оборудование для оснащения Центров раннего вмешательства ТОО ""Фармас"", Договор №09-02-25/3  от
04.08.2022г.";4 928 044;
8;10.01.2024;"Окончательная оплата 50% ИП Прохоренко Сергей Александрович за оборудование для оснащения специальных школ, Договор №11-02-6-181, 183, 190, 195, 200, 202, 206 от 06.09.2023 г., №11-02-6-380 от 21.09.2023 г., №11-02-6-503 от
07.12.2023 г.";1 656 880;
9;10.01.2024;"Оплата ТОО ""STEPLINE"" за оборудование для оснащения
специальных школ, Дог. №09-02-3-282 от 14.07.2023г.";831 970;
10;10.01.2024;"Окончательная оплата 50% ИП Прохоренко Сергей Александрович за оборудование для оснащения специальных школ, Договор №11-02-6-174,177,178,179, 189, 190,191, 197, 201,
203, 204, 205, 207, 208, 211, 212 от 06.09.2023 г.";3 312 860;
11;10.01.2024;"Окончательная оплата 50% ТОО ""Базисный Магазин"" за оборудование для оснащения малокомплектных школ, Дог. №09- 02-3-
85,86,87,88,89,95,96,97,121,122,123,124,126,130,191,192,193,194,1
95,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,2
11,212,213,214,215,216 от 30.06.2023г.";236 928 609;
12;10.01.2024;"Оплата ТОО ""Казахская фармацевтическая компания ""Медсервис Плюс"" за лекарственное  средство - Апбрави (Селексипаг),
Договор №09-03-162 от 28.12.2022г";33 299 400;
13;12.01.2024;"Оплата ТОО ""INKAR"" за лекарственное  средство - Нинтеданиб
(Варгатеф),  Договор №09-03-135 от 13.10.2023";61 078 800;
14;12.01.2024;"Оплата ТОО ""Арман Инжиниринг"" за оборудование для изучения робототехники по программе ""QH Болашақ инженерлер в моногородах"", Дог. №11-02-6-25,28,32,33,34,35,44 от 14.08.2023,
№11-02-6-112, 126,137,143 от 24.08.2023, №11-02-6-160, 168 от
06.09.2023, №11-02-6-229 от 12.09.2023г., №11-02-6-515, 516, 521,
522, 524, 530 от 22.12.2023";46 800 000;
15;12.01.2024;"Окончательная оплата 50% ИП МетКом за оснащение
реалибитационного центра ""Акжол-М"", Дог. №09-02-3-375 от 31.10.2023г.";2 678 000;
16;12.01.2024;"Окончательная оплата 50% ТОО КОМПАНИЯ «TROYA» за оснащение реалибитационного центра ""Акжол-М"", Дог. №09-02-3-
238 от 04.07.2023г.";11 579 996;
17;12.01.2024;"Оплата ТОО ""Казахская фармацевтическая компания ""Медсервис Плюс"" за лекарственное  средство - Энспринг (Сатрализумаб),
Договор №09-03-161 от 28.12.2022г";92 093 104;
18;12.01.2024;"Оплата ТОО ""ОАД-27"" за лекарственное  средство - Эврисди
(Рисдиплам), Договор №09-03-164 от 28.12.2023.";68 921 689;
19;12.01.2024;"Оплата ТОО ""MEDICAL CONSULTING GROUP"" за лечение пациентов  с заболеваниями органов глаза (пересадка роговицы),
Договор №09-02-3-378 от 27.11.2023 г.";6 773 729;
20;12.01.2024;"Оплата ТОО ""MEDICAL CONSULTING GROUP"" за лечение
пациентов  с заболеваниями органов глаза (пересадка роговицы), Договор №09-02-3-379 от 27.11.2023 г.";6 777 338;
21;12.01.2024;"Оплата Литовский университет наук и здоровья - расходы, связанные с оказанием образовательных услуг 6 специалистам КГП на ПХВ ""Жамбылский областной специализированный реабилитационный центр"" Управления здравоохранения акимата Жамбылской области, Дог. №2023-PR-00096 от 20.11.23г.";3 572 140;
22;12.01.2024;"Оплата ТОО ""SPACE Y"" за оборудование по Проекту ""Білім - инновация"", Дог. №11-02-6- 449,450,451,452,453,454,455,456,457,458,459,463,464,465,466,467,
468,469,470,472,473,474,476,477,478,479,480,481,482,483,484,485,
487,488,489,490,491,492,493,494 от 01.12.2023г., №11-02-6-
495,496,497 от 05.12.2023";264 946 374;
23;12.01.2024;"Возврат средств от ТОО ""Фармас""";-                                         3 856 500;
24;16.01.2024;"Предоплата 50 % ИП Sport Time OUTDOOR за оборудование в
рамках БП ""Развитие лыжного спорта в районах Акмолинской области"", Договор №11-02-6-8, 10,12 от 31.07.24г.";5 355 000;
25;16.01.2024;"Оплата ТОО ""ITECH PRO"" за оборудование по Проекту ""Білім - инновация"", Дог. №11-02-6- 398,399,400,401,403,404,405,407,408,409,410,411,412,413,414,415,
416,417,418,419,420,421,422,423,424,425,427,428,429 от
30.11.2023г., №11-02-6-
430,431,433,434,435,436,437,438,440,441,442,445 от 01.12.2023г.";628 089 869;
26;16.01.2024;"Предоплата 50 % ИП ASTANA OLIMPIK за оборудование в
рамках БП ""Развитие лыжного спорта в районах Акмолинской области"", Договор №11-02-6-1, 2,3,4,5,6,7,9,11 от 15.01.24г.";32 470 450;
27;16.01.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство - Коселуго
(Селуметиниб), Договор №09-03-173 от 29.12.2023г";256 420 800;
28;16.01.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство - Коселуго
(Селуметиниб), Договор №09-03-174 от 29.12.2023г";73 548 000;
29;16.01.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство - Коселуго
(Селуметиниб), Договор №09-03-175 от 29.12.2023г";91 436 400;
30;16.01.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство - Коселуго
(Селуметиниб), Договор №09-03-176 от 29.12.2023г";85 473 600;
31;16.01.2024;"Оплата ТОО Zaman Education за оборудование для оснащения
опорных школ, Дог. №11-02-6-532  от 15.01.2024 г.";124 996 813;
32;19.01.2024;"Оплата ТОО ""SPACE Y"" за оборудование по Проекту ""Білім -
инновация"", Дог. №11-02-6-460,461,462,471  от 01.12.23г.";24 086 034;
33;19.01.2024;"Оплата ТОО ""ITECH PRO"" за оборудование по Проекту ""Білім - инновация"", Дог. №11-02-6-402,426 от 30.11.23г., №11-02-6-
432,443,444,446,447 от 01.12.23г.";120 441 194;
34;19.01.2024;"Предоплата 50% ТОО ""Б.БРАУН МЕДИКАЛ КАЗАХСТАН"" за
оборудование в рамках БП ""QH Развитие детской нейрохирургической службы"", Договор №09-02-3-394,399 от 22.12.23г.";76 027 920;
35;19.01.2024;"Оплата ТОО ""Medicare International"" за оборудование в рамках БП ""QH Доступная среда от порога до порога"", Договор №09-02-3- 381/1, 381/2, 381/3, 381/4, 381/5, 381/6, 381/7, 381/8, 381/9, 381/10,
381/11, 381/12, 381/13 от 11.12.23г";9 750 000;
36;19.01.2024;"Возврат средств от АОО ""НАЗАРБАЕВ ИНТЕЛЛЕКТУАЛЬНЫЕ
ШКОЛЫ""";-                                            172 500;
37;24.01.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство -
Сатрализумаб (Энспринг), Договор №09-03-177 от 29.12.2023г.";241 500 000;
38;24.01.2024;"Оплата ТОО ""ОАД-27"" за лекарственное  средство - Эврисди
(Рисдиплам), Договор №09-03-163 от 28.12.2023.";206 765 067;
39;24.01.2024;"Окончательная оплата 50% ТОО ""TARLAN INTERNATIONAL"" за оборудование в рамках БП ""QH Развитие детской нейрохирургической службы"", Договор №09-02-3-325/2, 325/4 от 02.08.2023, №09-02-3-325/6, 325/8, 325/18, 325/20, 325/28, 325/29,
325/43, 325/44 от 01.09.2023г";127 988 000;
40;24.01.2024;"Предоплата 70% ТОО ""ЦЕНТР ТЕХНИЧЕСКОЙ
КОМПЕТЕНЦИИ DEMEU"" за поставку медицинского оборудования, Дог. №09-02-3-8,9,10 от 18.01.2024 г.";8 323 484 706;
41;24.01.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное средство, Договор
№09-03-130  от 13.10.2023г";263 440 170;
42;29.01.2024;"Окончательная оплата 50% за оборудование для оснащения Центров раннего вмешательства ТОО ЦЕНТР МЕДИЦИНСКИХ И СОЦИАЛЬНЫХ ТЕХНОЛОГИЙ «ИСТОК», Договор поставки
№ЦРВ/2022-19-10 от 24.03.2023г.";9 250 000;
43;29.01.2024;"Возмещение расходов по перевозке по РК согласно Договора №09- 02-3-9 от 05.04.2023г. (КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"") в рамках
реализации проекта «QH Оңалту орталығы»";450 792;
44;29.01.2024;"Оплата за оборудование для оснащения Центров для детей с аутизмом ТОО ""Royal Engineering Kazakhstan"", Договор поставки
№РАС-2-12 от 09.01.2024г.";1 300 000;
45;29.01.2024;"Оплата за оборудование для оснащения Центров раннего
вмешательства ТОО ""Royal Engineering Kazakhstan"", Договор поставки №ЦРВ/2022-2-10  от 21.12.23г.";1 300 000;
46;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Оңалту орталықтары"" ТОО ""МК ИНТЕРНА"", Договор поставки
№РЦ/2023-3-1, №РЦ/2023-3-3, №РЦ/2023-3-5, №РЦ/2023-3-6 от
11.01.24г.";8 604 000;
47;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Аудандык Оңалту орталықтары"" ТОО ""МК ИНТЕРНА"", Договор поставки
№РЦ-Р/2023-11-2, №РЦ-Р/2023-11-3 от 11.01.24г";4 302 000;
48;29.01.2024;"Оплата за оборудование для оснащения Центров раннего вмешательства ТОО ""METAMED"", Договор поставки №ЦРВ/2022- 2-10, ЦРВ/2022-2-5, ЦРВ/2022-2-11, ЦРВ/2022-2-13 от 30.11.23г.";544 000;
49;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Оңалту орталықтары"" ИП Фербер В.В., Договор поставки №РЦ/2023-2-1,
№РЦ/2023-2-3,  №РЦ/2023-2-5, №РЦ/2023-2-6 от 12.01.24г";1 943 000;
50;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Аудандык
Оңалту орталықтары"" ИП Фербер В.В., Договор поставки №РЦ- Р/2023-9-2,№РЦ-Р/2023-9-3 от 10.01.24";585 000;
51;29.01.2024;"Предоплата 50% за оборудование в рамках проекта ""QH Оңалту орталықтары"" ТОО ""БЕЛЫЙ ВЕТЕР KZ"", Договор поставки
№РЦ/2023-18-1, №РЦ/2023-18-3, №РЦ/2023-18-5, №РЦ/2023-2-6
от 12.01.24г";11 101 380;
52;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Аудандык
Оңалту орталықтары"" ТОО ""БЕЛЫЙ ВЕТЕР KZ"", Договор поставки №РЦ-Р/2023-7-2,№РЦ-Р/2023-7-3 от 10.01.24г";3 330 414;
53;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Оңалту орталықтары"" ТОО ""Медицинский Холдинг""Sintez-KZ"" (Синтез- КЗ)"", Договор поставки №РЦ/2023-1-1, №РЦ/2023-1-3, №РЦ/2023-
1-5,№РЦ/2023-1-6 от 11.01.24г.";1 320 000;
54;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Аудандык Оңалту орталықтары"" ТОО ""Медицинский Холдинг""Sintez-KZ"" (Синтез-КЗ)"", Договор поставки №РЦ-Р/2023-3-2,№РЦ-Р/2023-3-3
от 11.01.24г";660 000;
55;29.01.2024;"Предоплата 30% за оборудование в рамках проекта ""QH Оңалту орталықтары"" ИП Бисекенов (Бисекенов Айгали Агарысулы) (Синтез-КЗ)"", Договор поставки №РЦ/2023-7-1, №РЦ/2023-7-3,
№РЦ/2023-7-5,№РЦ/2023-7-6  от 11.01.24г.";5 640 000;
