"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2,"1","2025-03-02T18:19:08.319877Z",1,"[{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":7,""end"":65,""text"":""за оборудование для оснащения Центров для детей с аутизмом"",""labels"":[""PURPOSE""]},{""start"":66,""end"":101,""text"":""ТОО \""Royal Engineering Kazakhstan\"","",""labels"":[""ORG""]},{""start"":102,""end"":145,""text"":""Договор поставки\\n№РАС-6-12 от 27.12.2022г."",""labels"":[""MISC""]}]",34.658,"Оплата за оборудование для оснащения Центров для детей с аутизмом ТОО ""Royal Engineering Kazakhstan"", Договор поставки
 №РАС-6-12 от 27.12.2022г.","2025-03-02T18:19:08.319889Z"
3,"1","2025-03-02T18:19:50.641665Z",2,"[{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":138,""end"":167,""text"":""Договор №09-5 от 20.05.2022г."",""labels"":[""MISC""]},{""start"":7,""end"":109,""text"":""за изготовление инновационных протезно-ортопедических изделий для 5-х детей и молодежи с инвалидностью"",""labels"":[""PURPOSE""]},{""start"":124,""end"":136,""text"":""ТОО \""Фармас\"""",""labels"":[""ORG""]},{""start"":7,""end"":122,""text"":""за изготовление инновационных протезно-ортопедических изделий для 5-х детей и молодежи с инвалидностью (14-29 лет) "",""labels"":[""PURPOSE""]}]",38.507,"Оплата за изготовление инновационных протезно-ортопедических изделий для 5-х детей и молодежи с инвалидностью (14-29 лет) - ТОО ""Фармас"", Договор №09-5 от 20.05.2022г.","2025-03-02T18:19:50.641676Z"
4,"1","2025-03-02T22:05:43.925035Z",3,"[{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":48,""end"":57,""text"":""стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":111,""text"":""АО \""Университет КАЗГЮУ им. М.С. Нарикбаева»"",""labels"":[""ORG""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":113,""end"":164,""text"":""Доп.соглаш.1 к Договор №09-02-55\/60 от 28.10.2022г."",""labels"":[""MISC""]}]",58.934,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам АО ""Университет КАЗГЮУ им. М.С. Нарикбаева», Доп.соглаш.1 к Договор №09-02-55/60 от 28.10.2022г.","2025-03-02T22:05:43.925051Z"
5,"1","2025-03-02T22:09:20.128682Z",4,"[{""start"":72,""end"":106,""text"":""Договор №09-02-131 от 19.12.2022г."",""labels"":[""MISC""]},{""start"":0,""end"":7,""text"":""Оплата "",""labels"":[""PAYMENT_TYPE""]},{""start"":7,""end"":23,""text"":""ТОО \""МК- ФАРМА\"" "",""labels"":[""ORG""]},{""start"":23,""end"":71,""text"":""за оборудование для оснащения\\nспециальных школ,"",""labels"":[""PURPOSE""]}]",213.631,"Оплата ТОО ""МК- ФАРМА"" за оборудование для оснащения
 специальных школ, Договор №09-02-131 от 19.12.2022г.","2025-03-02T22:09:20.128694Z"
6,"1","2025-03-02T22:09:46.238840Z",5,"[{""start"":93,""end"":122,""text"":""Договор №09-03 от\\n16.05.22г."",""labels"":[""MISC""]},{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":7,""end"":59,""text"":""за оказание мед.помощи детям с сосудистой патологией"",""labels"":[""PURPOSE""]},{""start"":62,""end"":92,""text"":""ОФ ИМЕНИ \""КАРАБЕКОВА АГАБЕКА\"","",""labels"":[""ORG""]}]",23.685,"Оплата за оказание мед.помощи детям с сосудистой патологией - ОФ ИМЕНИ ""КАРАБЕКОВА АГАБЕКА"", Договор №09-03 от
 16.05.22г.","2025-03-02T22:09:46.238856Z"
8,"1","2025-03-03T15:38:08.538197Z",6,"[{""start"":135,""end"":188,""text"":""Доп.соглаш.1 к Договору №09-02-55\/83 от\\n28.10.2022г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":48,""end"":57,""text"":""стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]}]",30.158,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам ТОО ""Университет международного бизнеса им.
 Кенжегали Сагадиева"", Доп.соглаш.1 к Договору №09-02-55/83 от
 28.10.2022г.","2025-03-03T15:38:08.538214Z"
9,"1","2025-03-03T15:38:53.292730Z",7,"[{""start"":116,""end"":169,""text"":""Доп.соглаш.№1 к Договору №09-02-55\/74 от 28.10.2022г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":48,""end"":57,""text"":""стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":68,""end"":114,""text"":""ЧУ \""Карагандинский университет Казпотребсоюза\"""",""labels"":[""ORG""]}]",43.588,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам ЧУ ""Карагандинский университет Казпотребсоюза"", Доп.соглаш.№1 к Договору №09-02-55/74 от 28.10.2022г.","2025-03-03T15:38:53.292744Z"
10,"1","2025-03-03T15:39:32.536904Z",8,"[{""start"":64,""end"":100,""text"":""Договора №9-02-12 от 01.07.2022 года"",""labels"":[""MISC""]},{""start"":0,""end"":10,""text"":""Возмещение"",""labels"":[""PAYMENT_TYPE""]},{""start"":14,""end"":54,""text"":""услуги международной автоперевозки груза"",""labels"":[""PURPOSE""]},{""start"":102,""end"":122,""text"":""КФ\\n\""ҚАМҚОРЛЫҚ ҚОРЫ\"""",""labels"":[""ORG""]}]",27.353,"Возмещение за услуги международной автоперевозки груза согласно Договора №9-02-12 от 01.07.2022 года (КФ
 ""ҚАМҚОРЛЫҚ ҚОРЫ"")","2025-03-03T15:39:32.536927Z"
11,"1","2025-03-03T15:40:23.043775Z",9,"[{""start"":150,""end"":188,""text"":""Договору №09-02-55\/83 от\\n28.10.2022г."",""labels"":[""MISC""]},{""start"":16,""end"":22,""text"":""гранты"",""labels"":[""PAYMENT_TYPE""]},{""start"":48,""end"":57,""text"":""стипендии"",""labels"":[""PAYMENT_TYPE""]},{""start"":58,""end"":67,""text"":""студентам"",""labels"":[""PURPOSE""]},{""start"":0,""end"":15,""text"":""Образовательные"",""labels"":[""PURPOSE""]},{""start"":23,""end"":45,""text"":""ОФ «Қазақстан халқына»"",""labels"":[""ORG""]},{""start"":72,""end"":133,""text"":""\""Университет международного бизнеса им.\\nКенжегали Сагадиева\"""",""labels"":[""ORG""]},{""start"":135,""end"":150,""text"":""Доп.соглаш.1 к "",""labels"":[""MISC""]}]",43.099,"Образовательные гранты ОФ «Қазақстан халқына» и стипендии студентам ТОО ""Университет международного бизнеса им.
 Кенжегали Сагадиева"", Доп.соглаш.1 к Договору №09-02-55/83 от
 28.10.2022г.","2025-03-03T15:40:23.043787Z"
12,"1","2025-03-03T15:41:29.595634Z",10,"[{""start"":74,""end"":111,""text"":""Договор №09-02-110, 116 от 19.12.2022"",""labels"":[""MISC""]},{""start"":0,""end"":6,""text"":""Оплата"",""labels"":[""PAYMENT_TYPE""]},{""start"":25,""end"":72,""text"":""за оборудование для оснащения\\nспециальных школ"",""labels"":[""PURPOSE""]},{""start"":7,""end"":24,""text"":""ООО \""Исток Аудио\"""",""labels"":[""ORG""]}]",17.655,"Оплата ООО ""Исток Аудио"" за оборудование для оснащения
 специальных школ, Договор №09-02-110, 116 от 19.12.2022","2025-03-03T15:41:29.595650Z"
